NUMBER OF ITEMS		Exhaustive				Greedy
3                   0.005187311172485351	0.004501333236694336
4                   0.003989734649658202	0.004504528045654296
5                   0.003962268829345703	0.004438104629516601
6                   0.004095306396484375	0.004399957656860351
7                   0.004073371887207031	0.004525222778320312
8                   0.003998651504516601	0.004396858215332031
9                   0.004530563354492187	0.003968563079833984
10                  0.005208005905151367	0.0030896091461181637
11                  0.006651248931884765	0.0018938922882080077
12                  0.009633769989013672	0.014266862869262695
13                  0.015938701629638667	0.00770639419555664
14                  0.029310503005981443	0.010185184478759764
15                  0.055892410278320315	0.014509334564208984
