NUMBER OF ITEMS		Exhaustive				Greedy
3                   0.0003838920593261717	0.00036896705627441383
4                   0.0004603767395019529	0.00039628982543945293
5                   0.0006853485107421873	0.0005243682861328123
6                   0.0004948997497558592	0.0006627464294433592
7                   0.0005839729309082029	0.000499906539916992
8                   0.0011106395721435544	0.0007048988342285154
9                   0.0011572265624999998	0.0005344295501708982
10                  0.0014060878753662108	0.0008091831207275389
11                  0.003045072555541992	0.0005113029479980466
12                  0.006198587417602539	0.00043534278869628885
13                  0.012207450866699218	0.00044940948486328104
14                  0.02473854064941406 	0.000633420944213867
15                  0.049034681320190426	0.000643339157104492
